STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ESP,Spain,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,21.2,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ESP,Spain,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,21.5458,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EST,Estonia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,0.0,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FRA,France,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.7017,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,19.8526,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,20.5061,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRC,Greece,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,20.0095,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRC,Greece,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.3424,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HKG,"Hong Kong SAR, China",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,16.3516,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HRV,Croatia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,16.83,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HRV,Croatia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,41.8298,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ITA,Italy,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.6857,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDN,Indonesia,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,5.97388,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JPN,Japan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,19.5848,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JPN,Japan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,19.401,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JAM,Jamaica,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,9.03635,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,JOR,Jordan,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,14.8959,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,18.5164,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,14.7291,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,16.4949,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KOR,"Korea, Rep.",ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,33.5222,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LTU,Lithuania,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,22.1234,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LTU,Lithuania,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,18.749,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
